time,dives,contracts,permits,raids
08-07-2023 04:28:16,0,0,1,0
08-07-2023 05:16:59,1,0,0,0
08-07-2023 06:05:42,0,1,0,0
08-07-2023 06:54:17,0,0,0,0
08-07-2023 07:43:02,1,0,0,0
08-07-2023 08:31:55,0,0,0,1
08-07-2023 09:20:49,0,1,0,0
08-07-2023 10:09:34,3,0,0,0
08-07-2023 10:58:19,2,0,0,0
08-07-2023 11:47:04,0,0,0,0
08-07-2023 12:36:06,1,0,1,0
08-07-2023 13:24:58,0,0,0,0
08-07-2023 14:13:52,0,1,1,0
08-07-2023 15:02:29,0,0,0,0
08-07-2023 15:51:14,0,1,0,1
08-07-2023 16:39:50,1,0,0,0
08-07-2023 17:28:42,2,0,0,0
08-07-2023 18:17:36,1,0,0,0
08-07-2023 19:06:28,0,0,0,0
08-07-2023 19:55:20,1,0,0,0
08-07-2023 20:44:12,0,0,0,0
08-07-2023 21:33:05,2,0,0,0
08-07-2023 22:22:05,1,1,0,0
08-07-2023 23:10:58,2,1,0,0
08-07-2023 23:59:44,0,0,0,0
08-08-2023 00:48:28,0,0,0,0
08-08-2023 01:37:12,0,0,0,0
08-08-2023 02:25:55,1,0,0,0
08-08-2023 03:14:39,0,0,0,0
08-08-2023 04:03:24,0,0,0,0
08-08-2023 04:52:18,1,0,0,0
08-08-2023 05:41:18,1,0,0,0
08-08-2023 06:30:19,1,0,0,0
08-08-2023 07:19:19,0,0,0,0
08-08-2023 08:08:19,0,0,0,0
08-08-2023 08:57:21,3,1,0,0
08-08-2023 09:46:14,2,0,0,0
08-08-2023 10:35:08,1,0,0,0
08-08-2023 11:24:01,0,0,0,0
08-08-2023 12:12:54,1,1,0,0
08-08-2023 13:01:40,1,0,0,0
08-08-2023 13:50:24,0,1,0,0
08-08-2023 14:39:00,0,0,0,0
08-08-2023 15:27:44,0,0,0,0
08-08-2023 16:16:30,1,2,0,0
08-08-2023 17:04:59,0,0,0,0
08-08-2023 17:53:27,0,0,0,0
08-08-2023 18:42:04,1,0,0,0
08-08-2023 19:30:41,1,0,0,0
08-08-2023 20:19:27,1,0,0,0
08-08-2023 21:08:11,0,0,0,0
08-08-2023 21:56:57,0,0,1,0
08-08-2023 22:45:50,1,0,1,0
08-08-2023 23:34:34,1,0,1,0
08-11-2023 13:47:08,0,0,0,0
08-11-2023 14:36:02,2,0,0,0
08-11-2023 15:25:04,0,0,0,1
08-11-2023 16:14:05,0,0,0,0
08-11-2023 17:03:07,0,0,1,0
08-11-2023 17:52:02,0,0,0,0
08-11-2023 18:40:57,1,0,0,0
08-11-2023 19:29:51,2,0,0,0
08-11-2023 20:18:55,1,0,2,0
08-11-2023 21:07:40,1,1,0,0
08-11-2023 21:56:18,0,0,0,0
08-11-2023 22:44:57,0,0,0,0
08-11-2023 23:33:51,0,0,1,0
08-12-2023 00:22:45,0,1,0,0
08-12-2023 01:11:32,0,1,1,0
08-12-2023 02:00:01,0,0,0,0
08-12-2023 02:48:40,0,0,0,0
08-12-2023 03:37:17,1,0,0,1
08-12-2023 04:26:04,1,0,0,0
08-12-2023 05:14:50,0,0,0,0
08-12-2023 06:03:35,0,0,0,0
08-12-2023 06:52:31,1,0,1,0
08-12-2023 07:41:24,0,0,0,1
08-12-2023 08:30:19,1,1,1,0
08-12-2023 09:18:57,0,0,1,0
08-12-2023 10:07:35,2,0,0,0
08-12-2023 10:56:13,0,0,0,0
08-12-2023 11:45:07,1,0,1,0
08-12-2023 12:34:00,2,0,0,0
08-12-2023 13:22:55,1,1,0,0
08-12-2023 14:11:41,0,0,0,0
08-12-2023 15:00:36,1,0,0,0
08-12-2023 15:49:30,1,0,0,0
08-12-2023 16:38:31,0,0,0,0
08-15-2023 21:32:45,2,0,0,1
08-15-2023 22:23:21,1,0,1,0
08-15-2023 23:12:11,2,1,0,0
08-16-2023 00:00:54,0,0,1,1
08-16-2023 06:41:14,2,0,1,0
08-16-2023 07:30:06,2,0,0,0
08-16-2023 08:18:59,2,0,0,0
08-16-2023 09:07:50,0,1,1,0
08-16-2023 09:56:32,0,1,0,0
08-16-2023 10:45:09,1,0,0,0
08-16-2023 11:33:45,0,0,0,0
08-16-2023 12:22:28,1,0,0,0
08-16-2023 13:11:12,1,0,0,0
08-16-2023 13:59:56,1,0,0,0
08-16-2023 14:48:40,0,2,0,0
08-16-2023 15:37:15,0,0,0,1
08-16-2023 16:25:59,0,0,0,0
08-16-2023 17:14:42,0,0,0,0
08-16-2023 18:03:26,0,1,0,0
08-16-2023 18:52:00,0,0,0,0
08-16-2023 19:40:34,1,0,0,0
08-16-2023 20:29:10,0,0,0,0
08-16-2023 21:18:02,1,1,0,2
08-16-2023 22:06:45,0,0,0,0
08-16-2023 22:55:29,1,0,1,0
08-16-2023 23:44:04,0,0,0,1
08-17-2023 00:32:45,1,0,0,0
08-17-2023 01:21:28,1,0,0,0
08-17-2023 02:10:19,2,0,0,0
08-17-2023 03:02:42,0,0,0,0
08-17-2023 03:51:43,1,0,0,0
08-17-2023 04:40:43,0,0,0,0
08-17-2023 05:29:42,0,0,1,0
08-17-2023 06:18:33,0,0,0,0
08-17-2023 07:07:25,1,0,0,0
08-17-2023 07:56:18,2,0,1,0
08-17-2023 08:45:09,0,0,0,0
08-17-2023 09:34:02,0,0,1,0
08-17-2023 10:22:48,1,1,0,0
08-17-2023 11:11:31,2,0,0,0
08-17-2023 12:00:14,0,0,0,0
08-17-2023 12:49:06,0,0,0,0
08-17-2023 13:37:57,0,0,0,0
08-17-2023 14:26:49,0,0,0,0
08-17-2023 15:15:41,0,0,0,0
08-17-2023 16:04:32,0,0,0,0
08-17-2023 16:53:33,2,0,0,0
08-17-2023 17:42:35,0,0,2,1
08-17-2023 18:31:18,1,0,1,0
08-17-2023 19:19:54,0,0,0,0
08-17-2023 20:08:29,1,1,0,0
08-17-2023 20:57:12,2,1,1,0
08-17-2023 21:45:46,0,0,1,0
08-17-2023 22:34:13,0,1,0,0
08-17-2023 23:22:31,0,0,0,0
08-18-2023 00:11:07,1,0,0,0
08-18-2023 00:59:51,1,0,0,0
08-18-2023 01:48:43,1,0,0,0
08-18-2023 02:37:44,1,0,0,0
08-18-2023 03:26:42,1,1,0,0
08-18-2023 04:15:34,0,1,0,0
08-18-2023 05:04:18,3,0,1,0
08-18-2023 05:52:53,1,1,0,0
08-18-2023 06:41:20,0,0,0,0
08-18-2023 07:29:55,0,0,0,0
08-18-2023 08:18:38,0,1,0,0
08-18-2023 09:07:15,0,0,0,0
08-18-2023 09:55:58,0,0,0,0
08-18-2023 10:44:41,1,2,0,0
08-18-2023 11:33:08,1,0,0,0
08-18-2023 12:21:43,0,0,1,0
08-18-2023 13:10:09,0,0,0,0
08-18-2023 13:58:44,0,0,0,0
08-18-2023 14:47:29,1,1,0,0
08-18-2023 15:36:17,0,0,1,0
08-18-2023 16:24:53,0,0,1,0
08-18-2023 17:13:28,0,0,0,0
08-18-2023 18:02:12,1,0,0,0
08-18-2023 18:51:04,1,0,1,0
08-18-2023 19:39:55,0,1,0,0
08-18-2023 20:28:38,0,1,0,0
08-18-2023 21:17:14,0,0,0,0
08-18-2023 22:05:58,2,0,0,0
08-18-2023 22:54:49,1,1,1,0
08-18-2023 23:43:25,0,0,1,0
08-19-2023 00:31:53,0,0,0,0
08-19-2023 01:20:21,0,0,0,0
08-19-2023 02:08:56,0,0,0,0
08-19-2023 02:57:47,0,0,0,0
08-19-2023 03:46:39,0,0,1,0
08-19-2023 04:35:24,0,0,2,0
08-19-2023 05:23:59,0,0,0,1
08-19-2023 06:12:35,0,0,0,0
08-19-2023 07:01:19,0,0,0,0
08-19-2023 07:50:20,0,1,0,1
08-19-2023 08:39:13,1,0,0,0
08-19-2023 09:28:04,0,0,0,0
08-19-2023 10:16:55,1,0,0,0
08-19-2023 11:05:47,0,0,0,0
08-19-2023 11:54:40,1,1,0,0
08-19-2023 12:43:25,1,1,0,0
08-19-2023 13:31:59,0,0,0,0
08-19-2023 14:20:43,1,0,0,0
08-19-2023 15:09:27,1,0,0,0
08-19-2023 15:58:10,1,0,0,0
08-19-2023 16:46:53,1,0,0,0
08-19-2023 17:35:37,2,0,0,0
08-19-2023 18:24:29,1,0,0,0
08-19-2023 19:13:30,1,1,0,0
08-19-2023 20:02:24,1,0,0,1
08-19-2023 20:51:15,1,0,0,0
08-19-2023 21:40:06,1,0,0,0
08-19-2023 22:29:06,0,0,1,0
08-19-2023 23:17:58,2,1,0,0
08-20-2023 00:06:42,1,0,0,0
08-20-2023 00:55:26,1,0,0,0
08-20-2023 01:44:19,1,0,1,0
08-20-2023 02:33:11,2,0,0,0
08-20-2023 03:22:02,0,0,0,0
08-20-2023 04:10:53,2,0,0,0
08-20-2023 04:59:53,0,1,0,0
08-20-2023 05:48:46,0,1,1,1
08-20-2023 06:37:22,0,0,0,0
08-20-2023 07:25:58,1,0,0,0
08-20-2023 08:14:34,1,1,0,0
08-20-2023 09:03:10,0,0,0,0
08-20-2023 09:51:45,0,0,0,1
08-20-2023 10:40:20,1,0,0,0
08-20-2023 11:29:02,1,0,0,0
08-20-2023 12:17:53,0,0,0,0
08-20-2023 13:06:44,0,0,0,0
08-20-2023 13:55:35,0,0,0,0
08-20-2023 14:44:37,0,1,0,0
08-20-2023 15:33:29,0,1,0,0
08-20-2023 16:22:12,0,0,0,1
08-20-2023 17:10:56,0,0,1,0
08-20-2023 17:59:32,0,0,0,0
08-20-2023 18:48:06,0,0,0,0
08-20-2023 19:36:42,0,1,0,0
08-20-2023 20:25:18,0,0,0,0
08-20-2023 21:14:02,0,0,0,0
08-20-2023 22:02:55,1,0,0,0
08-20-2023 22:51:47,0,0,0,0
08-20-2023 23:40:37,1,0,0,0
08-21-2023 00:29:30,0,1,0,0
08-21-2023 01:18:14,0,0,0,0
08-21-2023 02:07:06,2,0,0,0
08-21-2023 02:55:59,0,0,0,0
08-21-2023 03:44:52,0,1,0,0
08-21-2023 04:33:37,0,0,1,0
08-21-2023 05:22:12,1,1,0,0
08-21-2023 06:10:40,2,0,0,0
08-21-2023 06:59:15,1,0,0,0
08-21-2023 07:47:58,0,1,0,0
08-21-2023 08:36:34,0,0,0,0
08-21-2023 09:25:09,2,0,0,0
08-21-2023 10:13:55,1,3,0,0
08-21-2023 11:02:13,0,0,0,0
08-21-2023 11:50:39,0,0,0,0
08-21-2023 12:39:06,0,0,0,0
08-21-2023 13:27:51,2,0,0,1
08-21-2023 14:16:42,1,1,1,0
08-21-2023 15:05:19,1,0,1,0
08-21-2023 15:53:46,0,0,0,0
08-21-2023 16:42:22,1,0,0,0
08-21-2023 17:31:14,1,0,0,0
08-21-2023 18:20:15,0,0,1,0
08-21-2023 19:09:08,1,0,1,0
08-21-2023 19:57:50,0,1,1,0
